pointId,trip_id,previous_point,next_point,latitude,longitude,horizontal_accuracy,bearing,bearing_accuracy,elapsed_time,elapsed_time_uncertainty,speed,speed_accuracy,likelihood_score,time delta (s),expected distance,delta Lat (m),exp del lat,delta Long (m),exp del long,expected lat,expected long,lat dif,lon dif,lat dif (m),lon dif (m),error (m),111084.744024676,82079.5722664617
159,3,0,0,42.5945044,-83.0884992,34.0769996643066,0,0,148968825000000,0,0,0,0,,,,,,,,,,,,,,,
160,3,159,0,42.5944836,-83.0885089,31.9179992675781,198.959762573242,198.959762573242,148979710000000,0,0.005590250249952,0,0,10.885,0.060849873970728,-2.3105626759,-0.0197703711,-0.7961718504,-0.057548584601088,42.5944834,-83.0885096,-0.0000002,-0.0000007,-0.0197704,-0.057548585101988,0.060849874374295,,
161,3,160,0,42.5944988,-83.0885043,36.2150001525879,12.604024887085,12.604024887085,148989079000000,0,0.148227378726006,0,0,9.369,1.38874231128395,1.6884881092,0.3030399548,0.3775660322,1.35527561513072,42.5945015,-83.0884878,0.0000027,0.0000165,0.3030400,1.35527561528726,1.38874231149592,,
162,3,161,0,42.5945244,-83.0885019,31.9689998626709,5.37691402435303,5.37691402435303,148999851000000,0,0.234358876943588,0,0,10.772,2.52451382243633,2.8437694471,0.2365650399,0.1969909734,2.51340546302787,42.5945265,-83.0884713,0.0000021,0.0000306,0.2365650,2.51340546261769,2.52451382202827,,
163,3,162,0,42.5945351,-83.0884964,39.8610000610352,14.2762746810913,14.2762746810913,149009824000000,0,0.155964538455009,0,0,9.973,1.55543434201181,1.1886067615,0.3835665884,0.4514376475,1.50739930495381,42.5945386,-83.0884780,0.0000035,0.0000184,0.3835666,1.50739930453632,1.55543434153052,,
164,3,163,0,42.5945003,-83.0885521,28.7730007171631,233.176559448242,233.176559448242,149019910000000,0,0.472791403532028,0,0,10.086,4.76857409602404,-3.8657490922,-3.8171779222,-4.5718321756,-2.85805031793555,42.5944659,-83.0885869,-0.0000344,-0.0000348,-3.8171779,-2.85805031766059,4.76857409601113,,
165,3,164,0,42.5944896,-83.0885745,27.1620006561279,243.517074584961,243.517074584961,149028660000000,0,0.173395067453384,0,0,8.75,1.51720684021711,-1.1886067607,-1.3580022183,-1.8385824181,-0.676569709035771,42.5944774,-83.0885827,-0.0000122,-0.0000082,-1.3580022,-0.676569708465223,1.5172068401906,,
166,3,165,0,42.5944955,-83.0885694,27.306999206543,290.552825927734,290.552825927734,149029970000000,0,0.071254462003708,0,0,1.31,0.093343345224857,0.6553999895,-0.0874019391,0.4186058182,0.032770125802523,42.5944947,-83.0885690,-0.0000008,0.0000004,-0.0874019,0.03277012562589,0.09334334534271,,
167,3,166,0,42.5944999,-83.0885608,24.5499992370605,37.8646278381348,37.8646278381348,149031046000000,0,0.144069626927376,0,0,1.076,0.155018918573857,0.4887728739,0.0951502919,0.7058843216,0.122381726862786,42.5945008,-83.0885593,0.0000009,0.0000015,0.0951503,0.122381726357136,0.155018918308485,,
168,3,167,0,42.5945043,-83.0885551,22.3430004119873,41.03857421875,41.03857421875,149033341000000,0,0.209814935922623,0,0,2.295,0.48152527794242,0.4887728731,0.3161536006,0.4678535621,0.363198973208548,42.5945071,-83.0885507,0.0000028,0.0000044,0.3161536,0.363198973122337,0.481525277649685,,
169,3,168,0,42.5945066,-83.0885527,20.4839992523193,35.9976272583008,35.9976272583008,149034878000000,0,0.112993165850639,0,0,1.537,0.173670495912432,0.2554949119,0.1020751377,0.1969909734,0.140506609886581,42.5945075,-83.0885510,0.0000009,0.0000017,0.1020751,0.140506609718936,0.173670495642666,,
170,3,169,0,42.5944957,-83.0885453,16.9799995422363,144.230102539063,144.230102539063,149045049000000,0,0.133232161402702,0,0,10.171,1.35510431362688,-1.2108237098,0.7921011174,0.6073888337,-1.09949239222253,42.5945028,-83.0885587,0.0000071,-0.0000134,0.7921011,-1.09949239201027,1.35510431359923,,
171,3,170,0,42.5944943,-83.0885509,16.2670001983643,200.096832275391,200.096832275391,149047331000000,0,0.09731587767601,0,0,2.282,0.222074832856655,-0.1555186419,-0.0763066390,-0.4596456042,-0.208553418171577,42.5944936,-83.0885534,-0.0000007,-0.0000025,-0.0763066,-0.208553417784992,0.222074832492829,,
172,3,171,0,42.5944932,-83.0885555,17.3159999847412,238.441055297852,238.441055297852,149052766000000,0,0.054005473852158,0,0,5.435,0.293519750386476,-0.1221932183,-0.2501088185,-0.3775660322,-0.153621036274989,42.5944909,-83.0885574,-0.0000023,-0.0000019,-0.2501088,-0.15362103655894,0.293519750288944,,
173,3,172,0,42.5944934,-83.0885554,17.6860008239746,243.859893798828,243.859893798828,149055082000000,0,0.027134962379932,0,0,2.316,0.062844572871924,0.0222169483,-0.0564167926,0.0082079567,-0.027687286922356,42.5944929,-83.0885557,-0.0000005,-0.0000003,-0.0564168,-0.0276872868566,0.062844572962334,,
174,3,173,0,42.5944655,-83.0885239,17.9570007324219,140.76872253418,140.76872253418,149065126000000,0,0.354003936052322,0,0,10.044,3.55561553370952,-3.0992643582,2.2487570324,2.5855065269,-2.75417748755305,42.5944857,-83.0885575,0.0000202,-0.0000336,2.2487570,-2.7541774872455,3.55561553353331,,
175,3,174,0,42.5944488,-83.0886068,22.048999786377,249.66455078125,249.66455078125,149075160000000,0,0.571988821029663,0,0,10.034,5.73933583021164,-1.8551152248,-5.3816265827,-6.8043965405,-1.99451023980574,42.5944004,-83.0886311,-0.0000484,-0.0000243,-5.3816266,-1.99451023972871,5.73933583000802,,
176,3,175,0,42.5944613,-83.0885807,29.1280002593994,43.2885093688965,43.2885093688965,149085250000000,0,0.10212454944849,0,0,10.09,1.03043670393526,1.3885593000,0.7065419922,2.1422768361,0.750065473231426,42.5944677,-83.0885716,0.0000064,0.0000091,0.7065420,0.750065472651727,1.03043670361123,,
177,3,176,0,42.5944754,-83.0884544,16.1949996948242,83.2694091796875,83.2694091796875,149095317000000,0,0.857028365135193,0,0,10.067,8.62770455181599,1.5662948909,8.5682442778,10.3666499765,1.01117546933063,42.5945525,-83.0884421,0.0000771,0.0000123,8.5682443,1.01117546946234,8.62770455177203,,
178,3,177,0,42.5944772,-83.0884231,19.5839996337891,83.6903762817383,83.6903762817383,149101566000000,0,0.364972591400146,0,0,6.249,2.28071372365951,0.1999525392,2.2668983227,2.5690906122,0.250653313664449,42.5944976,-83.0884200,0.0000204,0.0000031,2.2668983,0.25065331359322,2.28071372378924,,
179,3,178,0,42.5944772,-83.0884309,19.6350002288818,79.7973861694336,79.7973861694336,149102788000000,0,0.18022994697094,0,0,1.222,0.220240995198489,0.0000000000,0.2167584407,-0.6402206642,0.039011207992155,42.5944792,-83.0884304,0.0000020,0.0000005,0.2167584,0.03901120749498,0.220240995133276,,
180,3,179,0,42.5944778,-83.0884327,19.7730007171631,66.3223724365234,66.3223724365234,149104006000000,0,0.102896459400654,0,0,1.218,0.125327887549997,0.0666508464,0.1147777199,-0.1477432295,0.050330452027962,42.5944788,-83.0884321,0.0000010,0.0000006,0.1147777,0.050330451952066,0.125327887483905,,
181,3,180,0,42.5944787,-83.0884333,19.9500007629395,44.4025344848633,44.4025344848633,149105188000000,0,0.078262306749821,0,0,1.182,0.092506046578288,0.0999762700,0.0647260131,-0.0492477439,0.066090179883655,42.5944793,-83.0884325,0.0000006,0.0000008,0.0647260,0.066090180203192,0.092506047080908,,
182,3,181,0,42.5944808,-83.0884307,19.8250007629395,44.9281921386719,44.9281921386719,149106350000000,0,0.146189764142036,0,0,1.162,0.169872505933046,0.2332779620,0.1199673647,0.2134068881,0.1202684484288,42.5944819,-83.0884292,0.0000011,0.0000015,0.1199674,0.120268448170549,0.169872505539775,,
183,3,182,0,42.5944831,-83.0884267,19.3799991607666,48.2326431274414,48.2326431274414,149107531000000,0,0.21382774412632,0,0,1.181,0.252530565813184,0.2554949111,0.1883513423,0.3283182894,0.168212539730964,42.5944848,-83.0884247,0.0000017,0.0000020,0.1883513,0.168212539480406,0.252530565485207,,
184,3,183,0,42.5944853,-83.0884239,19.0769996643066,46.4082298278809,46.4082298278809,149108712000000,0,0.239202901721001,0,0,1.181,0.282498626932502,0.2443864373,0.2046055374,0.2298228027,0.194787187173661,42.5944871,-83.0884215,0.0000018,0.0000024,0.2046055,0.194787186794218,0.282498626434206,,
185,3,184,0,42.5944874,-83.0884226,18.8819999694824,40.2527732849121,40.2527732849121,149109884000000,0,0.229419574141502,0,0,1.172,0.26887974089384,0.2332779620,0.1737395812,0.1067034434,0.205209339448533,42.5944890,-83.0884201,0.0000016,0.0000025,0.1737396,0.205209339287979,0.26887974066759,,
186,3,185,0,42.5944901,-83.0884204,18.8190002441406,36.5575065612793,36.5575065612793,149111113000000,0,0.222471982240677,0,0,1.229,0.273418066173792,0.2999288092,0.1628558117,0.1805750588,0.219625644028738,42.5944916,-83.0884177,0.0000015,0.0000027,0.1628558,0.219625643460944,0.273418065926746,,
187,3,186,0,42.5944914,-83.0884189,19.8129997253418,37.3750076293945,37.3750076293945,149112351000000,0,0.205194801092148,0,0,1.238,0.254031163752079,0.1444101673,0.1542043491,0.1231193593,0.201873353566097,42.5944928,-83.0884164,0.0000014,0.0000025,0.1542043,0.201873353419008,0.254031163411445,,
188,3,187,0,42.5944923,-83.0884171,20.8700008392334,41.9259719848633,41.9259719848633,149113648000000,0,0.187421187758446,0,0,1.297,0.243085280522704,0.0999762692,0.1624222629,0.1477432295,0.180857574128001,42.5944938,-83.0884149,0.0000015,0.0000022,0.1624223,0.180857574064842,0.243085280407358,,
189,3,188,0,42.5944931,-83.0884147,22.0900001525879,48.8878974914551,48.8878974914551,149114951000000,0,0.163148045539856,0,0,1.303,0.212581903338432,0.0888677955,0.1601644183,0.1969909734,0.139779915385888,42.5944945,-83.0884130,0.0000014,0.0000017,0.1601644,0.139779915515785,0.212581903500987,,
190,3,189,0,42.5944919,-83.0883882,22.8579998016357,84.7211151123047,84.7211151123047,149116266000000,0,0.582098484039307,0,0,1.315,0.765459506511689,-0.1333016928,0.7622129415,2.1751086654,0.070425052084261,42.5944988,-83.0883873,0.0000069,0.0000009,0.7622129,0.070425051585385,0.765459506094872,,
191,3,190,0,42.594491,-83.0883538,22.7970008850098,88.7110900878906,88.7110900878906,149117279990841,0,0.995417773723602,0,0,1.013990841,1.00934450552434,-0.0999762700,1.0090891231,2.8235372863,0.022704018087707,42.5945001,-83.0883535,0.0000091,0.0000003,1.0090891,0.022704018439017,1.00934450533464,,
192,3,191,0,42.5944983,-83.088115,22.1459999084473,85.6884307861328,85.6884307861328,149124269067557,0,2.66978669166565,0,0,6.989076716,18.6593440034071,0.8109186314,18.6065375640,19.6006018565,1.40281093368639,42.5946658,-83.0880979,0.0001675,0.0000171,18.6065376,1.4028109332345,18.6593440032923,,
193,3,192,0,42.594505,-83.0882134,22.1539993286133,73.9343643188477,73.9343643188477,149125612147192,0,1.63176834583282,0,0,1.343079635,2.1915948343257,0.7442677850,2.1060027698,-8.0766299109,0.606498352468859,42.5945240,-83.0882060,0.0000190,0.0000074,2.1060028,0.60649835301508,2.19159483477943,,
194,3,193,0,42.5945278,-83.0882337,21.4839992523193,44.7761383056641,44.7761383056641,149126630848754,0,1.69850397109985,0,0,1.018701562,1.73026864842262,2.5327321642,1.2186950622,-1.6662153172,1.22825564976795,42.5945388,-83.0882187,0.0000110,0.0000150,1.2186951,1.22825565014067,1.73026864882713,,
195,3,194,0,42.5945034,-83.0882263,20.3010005950928,86.52001953125,86.52001953125,149128367000000,0,0.097757749259472,0,0,1.736151246,0.169722238182988,-2.7104677543,0.1694092820,0.6073888349,0.010302102653637,42.5945049,-83.0882262,0.0000015,0.0000001,0.1694093,0.010302102124304,0.169722237844637,,
196,3,195,0,42.5944958,-83.0882299,17.746000289917,174.649169921875,174.649169921875,149130630978649,0,0.000213613369851,0,0,2.263978649,0.000483616108484,-0.8442440550,0.0000450991,-0.2954864601,-0.000481508683385,42.5944958,-83.0882299,0.0000000,0.0000000,0.0000451,-0.000481509035634,0.000483616477086,,
197,3,196,0,42.5944934,-83.0882307,18.121000289917,249.581436157227,249.581436157227,149132639103908,0,0.000168126542121,0,0,2.008125259,0.000337619155942,-0.2666033856,-0.0003164062,-0.0656636574,-0.00011778712225,42.5944934,-83.0882307,0.0000000,0.0000000,-0.0003164,-0.000117787512957,0.000337619246349,,
198,3,197,0,42.5944914,-83.088231,18.6599998474121,267.773895263672,267.773895263672,149134634486981,0,0.000141773140058,0,0,1.995383073,0.000282891723878,-0.2221694875,-0.0002826782,-0.0246238714,-1.09883866713854E-05,42.5944914,-83.0882310,0.0000000,0.0000000,-0.0002827,-1.09888510781152E-05,0.000282891894668,,
199,3,198,0,42.5944895,-83.0882308,18.9349994659424,96.0675201416016,96.0675201416016,149136632819636,0,5.5278156651184E-05,0,0,1.998332655,0.000110464145544,-0.2110610137,0.0001098453,0.0164159135,-1.167610255051E-05,42.5944895,-83.0882308,0.0000000,0.0000000,0.0001098,-1.16758729744118E-05,0.000110463944663,,
200,3,199,0,42.5944835,-83.0882269,18.9230003356934,140.29606628418,140.29606628418,149138627521250,0,0.157743021845818,0,0,1.994701614,0.31465026027309,-0.6665084640,0.2010050807,0.3201103327,-0.242077970556363,42.5944853,-83.0882298,0.0000018,-0.0000029,0.2010051,-0.242077970436794,0.31465026026474,,
201,3,200,0,42.5944766,-83.0882229,18.8899993896484,153.565719604492,153.565719604492,149140633951926,0,0.560116171836853,0,0,2.006430676,1.12383426929715,-0.7664847340,0.5002984357,0.3283182882,-1.00633242026463,42.5944811,-83.0882352,0.0000045,-0.0000123,0.5002984,-1.00633241999759,1.12383426914858,,
202,3,201,0,42.5944689,-83.0882175,19.0249996185303,147.066711425781,147.066711425781,149141888000000,0,0.569758355617523,0,0,1.254048074,0.714504368507562,-0.8553525287,0.3884489979,0.4432296908,-0.599686475309675,42.5944724,-83.0882248,0.0000035,-0.0000073,0.3884490,-0.599686474925098,0.714504368311356,,
203,3,202,0,42.5944607,-83.0882137,19.363000869751,179.909301757813,179.909301757813,149143626000000,0,0.563141763210297,0,0,1.738,0.978740384459496,-0.9108949014,0.0015493287,0.3119023748,-0.978739158178784,42.5944607,-83.0882256,0.0000000,-0.0000119,0.0015493,-0.978739158327849,0.978740384607977,,
204,3,203,0,42.5944462,-83.0882122,19.1580009460449,183.544479370117,183.544479370117,149144636506456,0,0.574643135070801,0,0,1.010506456,0.580680597885124,-1.6107287882,-0.0358996399,0.1231193581,-0.579569816860188,42.5944459,-83.0882193,-0.0000003,-0.0000071,-0.0358996,-0.579569817106581,0.580680598152147,,
205,3,204,0,42.5944283,-83.0882106,18.8850002288818,157.756164550781,157.756164550781,149146369000000,0,0.290024608373642,0,0,1.732493544,0.502465761608463,-1.9884169184,0.1902079290,0.1313273160,-0.465072881738429,42.5944300,-83.0882163,0.0000017,-0.0000057,0.1902079,-0.46507288125358,0.502465761275437,,
